heading,roll,pitch,count
12.56701,-2.020947,66.8411,0
12.133,-3.303598,65.25928,1
12.02506,-4.023199,63.92269,2
12.16922,-4.329629,62.78598,3
12.48077,-4.331325,61.77023,4
12.80806,-4.184159,60.70562,5
13.24665,-3.821569,59.45588,6
13.79917,-3.27444,58.00949,7
14.38165,-2.599319,56.42011,8
15.00223,-1.798957,54.82938,9
15.72701,-0.7968393,53.22317,10
16.52864,0.3995359,51.59231,11
17.36394,1.786104,50.03915,12
18.16082,3.332671,48.62743,13
18.91522,4.962244,47.38451,14
19.58673,6.605322,46.17006,15
20.12558,8.252891,44.90178,16
20.74873,10.89927,42.79171,17
20.89906,12.65791,41.45039,18
20.86837,14.43784,40.1198,19
20.6378,16.24775,38.78328,20
20.20751,18.05573,37.49511,21
19.55974,19.82091,36.27992,22
18.75976,21.51437,35.2111,23
17.82314,23.11473,34.25592,24
16.70942,24.55013,33.41659,25
15.44077,25.81346,32.7138,26
14.02544,26.88221,32.4125,27
12.8779,28.51208,32.7761,28
11.60438,30.13937,32.97157,29
10.0802,31.55918,33.03751,30
8.464865,32.73261,33.26462,31
6.926824,33.69737,33.82915,32
5.523749,34.34322,34.75614,33
3.253784,34.63984,36.6785,34
1.413908,33.89117,37.94256,35
-0.7728593,32.5717,39.08112,36
-3.161303,30.80515,40.13935,37
-5.504422,28.78055,41.26226,38
-7.725569,26.52302,42.44963,39
-9.821492,24.04932,43.62278,40
-11.75472,21.41755,44.72564,41
-13.50283,18.60102,45.78195,42
-14.96091,15.69852,46.82943,43
-16.12208,12.80775,47.97012,44
-17.04387,9.976985,49.12537,45
-17.8234,7.171647,50.08903,46
-18.47605,4.239406,50.77463,47
-18.88533,1.334262,51.26428,48
-18.92304,-1.303668,51.74502,49
-18.50954,-3.443172,52.31452,50
-17.56937,-5.005479,52.95458,51
-15.41984,-6.832422,54.09238,52
-13.26201,-7.175182,54.50844,53
-10.74649,-7.1419,54.64813,54
-8.0716,-6.904155,54.46152,55
-5.437687,-6.50336,54.14152,56
-2.608418,-5.777896,54.16848,57
-0.1966915,-5.448737,54.74586,58
1.870307,-5.303251,55.63327,59
3.681281,-5.389437,56.62817,60
5.336248,-5.517103,57.12323,61
6.941965,-5.519857,57.08893,62
8.636219,-5.237001,56.79101,63
10.25881,-4.85206,56.40513,64
11.81944,-4.37249,56.0359,65
13.28486,-3.812986,55.72104,66
14.62032,-3.175124,55.4677,67
15.7975,-2.466237,55.25798,68
16.86277,-1.645547,55.02017,69
18.3482,-0.1615606,54.60361,70
19.06285,0.8624102,54.44042,71
19.55425,1.776281,54.36726,72